Tensao [V];Corrente [A]
6,9;4,156173E-07
6,95;4,166949E-07
7;4,170394E-07
7,05;4,178284E-07
7,1;4,193502E-07
7,15;4,208708E-07
7,2;4,292323E-07
7,25;4,267191E-07
7,3;4,237791E-07
7,35;4,240337E-07
7,4;4,231662E-07
7,45;4,234262E-07
7,5;4,244938E-07
7,55;4,265953E-07
7,6;4,268443E-07
7,65;4,28636E-07
7,7;4,291121E-07
7,75;4,300402E-07
7,8;4,30557E-07
7,85;4,323258E-07
7,9;4,327466E-07
7,95;4,335684E-07
8;4,335223E-07
8,05;4,351315E-07
8,1;4,358958E-07
8,15;4,371409E-07
8,2;4,370707E-07
8,25;4,39668E-07
8,3;4,39115E-07
8,35;4,409797E-07
8,4;4,484704E-07
8,45;4,487877E-07
8,5;4,428655E-07
8,55;4,434662E-07
8,6;4,438398E-07
8,65;4,451267E-07
8,7;4,457481E-07
8,75;4,47351E-07
8,8;4,47349E-07
8,85;4,480066E-07
8,9;4,490843E-07
8,95;4,502103E-07
9;4,508451E-07
9,05;4,521795E-07
9,1;4,524619E-07
9,15;4,546256E-07
9,2;4,532155E-07
9,25;4,556628E-07
9,3;4,553592E-07
9,35;4,571376E-07
9,4;4,565789E-07
9,45;4,704989E-07
9,5;4,647373E-07
9,55;4,644242E-07
9,6;4,60477E-07
9,65;4,606026E-07
9,7;4,60905E-07
9,75;4,615652E-07
9,8;4,625394E-07
9,85;4,635613E-07
9,9;4,634915E-07
9,95;4,631724E-07
10;4,646767E-07
