Tensao [V];Corrente [A]
7,7;2,103631E-08
7,75;2,102511E-08
7,8;2,112085E-08
7,85;2,114703E-08
7,9;2,11947E-08
7,95;2,124302E-08
8;2,128176E-08
8,05;2,13804E-08
8,1;2,136366E-08
8,15;2,142581E-08
8,2;2,146218E-08
8,25;2,152118E-08
8,3;2,159301E-08
8,35;2,158346E-08
8,4;2,191319E-08
8,45;2,209309E-08
8,5;2,208402E-08
8,55;2,17972E-08
8,6;2,181883E-08
8,65;2,183694E-08
8,7;2,188325E-08
8,75;2,191934E-08
8,8;2,19605E-08
8,85;2,200465E-08
8,9;2,201018E-08
8,95;2,205788E-08
9;2,210404E-08
9,05;2,211901E-08
9,1;2,213902E-08
9,15;2,220167E-08
9,2;2,227375E-08
9,25;2,226332E-08
9,3;2,230092E-08
9,35;2,234621E-08
9,4;2,23671E-08
9,45;2,244208E-08
9,5;2,242485E-08
9,55;2,245605E-08
9,6;2,25055E-08
9,65;2,31086E-08
9,7;2,292142E-08
9,75;2,27331E-08
9,8;2,268427E-08
9,85;2,269245E-08
9,9;2,271735E-08
9,95;2,275598E-08
10;2,279963E-08
