Tensao [V];Corrente [A]
9,45;3,6223E-07
9,5;3,627474E-07
9,55;3,634427E-07
9,6;3,717748E-07
9,65;3,705975E-07
9,7;3,643928E-07
9,75;3,649494E-07
9,8;3,654177E-07
9,85;3,66002E-07
9,9;3,665351E-07
9,95;3,669589E-07
10;3,675807E-07
